Structure,SMILES,SI Table numbers/name,Formal charge,Formal charge Class,Q_vsa_Ppos,Q_vsa_Ppos Class,vsa_don,vsa_don Class,PA Accum Class,PA Accum,EC accum
,[NH3+][C@H]1[C@H](C)[C@@H]2C(C)(C)[C@H](C1)C2,2.57,0.999,1,29,0,17.7,0,1,1050 ± 20*,762 ± 65*
,FC(F)(F)c1ccc(Nc2cc3c(cc2)C[C@@H]([NH3+])CC3)cc1,2.58,0.998,1,47,0,23.4,1,1,1046 ± 154*,1290 ± 92*
,FC(F)(F)c1nc(-c2n[nH]c3c2ccnc3)nc(NCCC[NH3+])c1,2.59,1.029,1,111,1,23.4,1,1,1027 ± 49*,1731 ± 82*
,O=C(NC(C[NH3+])(C)C)c1c2nc(-c3n[nH]c4c3ccc(C)c4)cnc2[nH]c1,2.6,1.0,1,102,1,23.4,1,1,1025 ± 68*,2557 ± 145*
,FC(F)(F)c1ccc(NC(=O)Nc2cc3c(cc2)C[C@@H]([NH3+])CC3)cc1,2.61,0.998,1,73,0,29.1,1,1,986 ± 150*,1372 ± 182*
,FC(C[NH3+])(CNc1c2cc(C)ccc2nc(N3Cc4ccccc4S(=O)(CC3)=O)n1)F,2.62,0.769,0,138,1,29.1,1,1,985 ± 105*,1022 ± 129*
,FC(F)(F)c1cc(C(F)(F)F)cc(COc2cc(F)c(NC(=O)C[NH3+])cc2)c1,2.63,0.415,0,94,1,23.4,1,1,970 ± 79*,1039 ± 26*
,Clc1ccc(N2CCC(CC2)C(C)[NH3+])c(NC(c3cnn4c3N=CC=C4)=O)c1,2.64,0.999,1,94,1,23.4,1,1,946 ± 67*,737 ± 41*
,O[C@@]12C(=C)C[C@]3([C@@H](C[NH3+])c4c(C)cccc4[C@H]3CC1)C2,2.65,0.998,1,49,0,17.7,0,1,943 ± 77*,1335 ± 8*
,[NH3+][C@@H]1c2nccnc2[C@H](N)CC1,2.66,1.699,1,49,0,17.7,0,1,921 ± 73*,1461 ± 25*
,[NH3+]CCc1c2c([nH]c1)cccc2,2.67,0.999,1,48,0,23.4,1,1,905 ± 18*,792 ± 14*
,S(=O)(=O)(c1cc2OCCN(C(=O)NCC[NH3+])c2cc1)c1ccccc1,2.68,0.984,1,72,0,23.4,1,1,904 ± 67*,706 ± 52*
,Clc1ccc(C(NC(C2CCCCC2)CC[NH3+])=O)cc1NC(C(C(N3)=O)=Cc4c3nc(OC)nc4)=O,2.69,0.752,0,136,1,34.8,1,1,861 ± 26*,668 ± 54*
,Fc1c(OC2=NC=Nn3c2c(C)c(OC[C@H](OC(=O)[C@@H](N)C)C)c3)ccc2[nH]c(C)cc12,2.7,0.296,0,78,0,5.7,0,1,851 ± 67*,29 ± 5
,Clc(c1)ccc2c1nc(Cn3c4cnccc4c(S(=O)(C)=O)n3)n2C5CN(CC5)C(C[NH3+])=O,2.71,0.863,0,87,1,17.7,0,1,850 ± 8*,690 ± 46*
,Clc1cc([C@H]2[C@H](C(=O)NCCC[NH3+])N[C@@H](CC(C)(C)C)[C@]2(C#N)c2ccc(Cl)cc2)ccc1,2.72,1.012,1,93,1,23.4,1,1,847 ± 30*,717 ± 23*
,O=C(N)c1c(Nc2nc(C(C#N)(C)C)ccc2)cc(NCC[NH3+])nn1,2.73,0.993,1,149,1,46.9,1,1,838 ± 47*,1745 ± 76*
,O=C1NC[C@@H](c2cccs2)SC[C@@H]1[NH3+],2.74,0.38,0,45,0,5.7,0,1,838 ± 50*,1295 ± 3*
,S(=O)(=O)(c1cc2N(C(=O)NCC[NH3+])CCOc2cc1)c1ccccc1,2.75,0.984,1,72,0,23.4,1,1,828 ± 81*,762 ± 52*
,S(=O)(=O)(CC[NH3+])c1cc(C(F)(F)F)cc(C(=O)N(C)c2c(-c3c(OC)cc(F)cc3)ccnc2)c1,2.76,0.093,0,68,0,17.7,0,1,824 ± 60*,213 ± 4
,Clc(c1)ccc2c1n(C)nc2c(n3)cnc4c3c(C(NC5CC(CC5)[NH3+])=O)c[nH]4,2.77,1.007,1,82,1,23.4,1,1,823 ± 7*,2455 ± 167*
,FC(F)(F)c1nc(Nc2c(C(=O)N)nnc(NCC[NH3+])c2)ccc1,2.78,0.99,1,138,1,46.9,1,1,821 ± 34*,2189 ± 73*
,O=C1[C@]2(CO)C[C@]3([C@@H](C[NH3+])c4c(C)cccc4[C@H]3CC2)C1,2.79,0.997,1,58,0,17.7,0,1,818 ± 51*,1487 ± 58*
,S(CC[NH3+])c1cc(C(F)(F)F)cc(C(=O)N(C)c2c(-c3c(OC)cc(F)cc3)ccnc2)c1,2.8,1.039,1,61,0,17.7,0,1,787 ± 29*,312 ± 31*
,O[C@@]12C(=C)C[C@]3([C@@H](CC[NH3+])c4c(C)cccc4[C@H]3CC1)C2,2.81,0.999,1,49,0,17.7,0,1,780 ± 18*,1867 ± 179*
,FC(F)(F)Oc1cc(Nc2cc3c(cc2)C[C@@H]([NH3+])CC3)ccc1,2.82,0.998,1,53,0,23.4,1,1,766 ± 33*,1076 ± 37*
,Clc1c(OC2=CC(=O)N([C@H](C(=O)Nc3nn(C[C@@H]([NH3+])CO)cc3)CC(C)C)C2)cccc1,2.83,0.738,0,101,1,23.4,1,1,765 ± 104*,302 ± 25
,S(=O)(=O)(c1cc2c([C@H](CC[NH3+])CCC2)cc1)c1ccccc1,2.84,0.999,1,46,0,17.7,0,1,759 ± 25*,851 ± 68*
,Fc1cc(C(c2ccccc2)CC[NH3+])cc3c1[nH]cc3C#N,2.85,0.999,1,68,0,23.4,1,1,757 ± 35*,1281 ± 74*
,[NH3+]C1(c2ccc(-n3c(-c4c(N)nccc4)nc4c3nc(-c3ccccc3)cc4)cc2)CCC1,2.86,1.026,1,68,0,35.5,1,1,757 ± 90*,330 ± 30*
,Clc1cc2n(C)nc(-c3nc4c(C(=O)NC(C[NH3+])(C)C)c[nH]c4nc3)c2cc1,2.87,1.003,1,89,1,23.4,1,1,743 ± 106*,1568 ± 80*
,Clc1ccccc1C2C(C(OCC)=O)=C(NC(C)=C2C(OC)=O)COCC[NH3+],2.88,0.993,1,92,1,23.4,1,1,741 ± 45*,426 ± 7*
,S(=O)(=O)(c1cc(F)ccc1)c1cc2c([C@H](CNC(=O)C[NH3+])CCC2)cc1,2.89,0.711,0,67,0,23.4,1,1,730 ± 47*,447 ± 44*
,Clc1ccc(N2CC(CC2)C[NH3+])c(NC(c3cnn4c3N=CC=C4)=O)c1,2.9,0.998,1,104,1,23.4,1,1,724 ± 41*,1013 ± 8*
,Clc1cc(NC(=O)c2c3n(nc2)C=CC=N3)c(N2CCC([NH3+])CC2)cc1,2.91,0.997,1,94,1,23.4,1,1,700 ± 14*,836 ± 44*
,O=C1N([C@H]2[C@H]([C@H]([NH3+])C)C[C@@H]([C@@H](O)CC)O2)C=2N=C(N)NC(=O)C=2S1,2.92,0.987,1,129,1,41.2,1,1,690 ± 49*,521 ± 13*
,O=C(NC(c1ccccc1)c1ccccc1)CC[NH3+],2.93,0.98,0,64,0,23.4,1,1,670 ± 66*,840 ± 37*
,O=C(N)c1c(Nc2nc(C(C#N)(C)C)ccc2)cc(N[C@H]2[C@@H]([NH3+])CCCC2)nn1,2.94,0.996,1,129,1,46.9,1,1,666 ± 22*,450 ± 24*
,Clc1cc2N=C([C@H](N(C(=O)c3ccc(C)cc3)CCC[NH3+])C(C)C)N(Cc3ccccc3)C(=O)c2cc1,2.95,0.999,1,92,1,17.7,0,1,658 ± 113*,244 ± 31
,CC(c1c(C[NH3+])c(CC[C@]2([H])[C@]3(C)CCC[C@]2(CO)C)c3cc1)C,2.96,0.996,1,49,0,17.7,0,1,649 ± 26*,467 ± 44*
,Brc1cc2c(c(CN3C(=O)[C@@H](NC(=O)[C@@H]([NH3+])[C@@H](O)C)COc4c3ccc(C)c4)c(OC)cc2)cc1,2.97,0.399,0,90,1,23.4,1,1,638 ± 29*,107 ± 12
,O=C1[C@]2(C)C[C@]3([C@@H](C[NH3+])c4c(C)cccc4[C@H]3CC2)C1,2.98,0.998,1,48,0,17.7,0,1,629 ± 32*,1696 ± 117*
,O=S(c1cccc(F)c1)(c2ccc(C(CCC3)CCC[NH3+])c3c2)=O,2.99,0.999,1,46,0,17.7,0,1,622 ± 31*,790 ± 38*
,O=S(c1cccc(F)c1)(c2ccc(C(CCC3)CC[NH3+])c3c2)=O,2.1,0.999,1,46,0,17.7,0,1,616 ± 47*,854 ± 61*
